name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
ACTB,1.0,0.9545454545454546,0.5714285714285714,0.575091575091575,1.0,0.325
ACTG1,0.781659388646288,0.9527972027972028,0.5238095238095238,0.623015873015873,0.9432562199912702,0.3520833333333333
ITGB1,0.5727802037845702,0.9431818181818182,1.0,0.5476190476190477,0.3751636839807944,0.4755244755244755
DMD,0.975982532751091,0.9344405594405594,0.5238095238095238,0.34523809523809523,0.5936272370144042,0.3055555555555556
ITGB4,0.128602620087336,0.9379370629370628,0.8095238095238095,0.6693121693121693,0.22566564818856394,0.5576131687242798
CACNA1D,0.09326263256394252,0.9967320261437908,0.7619047619047619,0.6526610644257703,0.006983849847228284,0.8169934640522876
CACNA1C,0.09326263256394252,0.9967320261437908,0.7619047619047619,0.6526610644257703,0.006983849847228284,0.8169934640522876
CACNG1,0.09326263256394252,0.9967320261437908,0.7619047619047619,0.6526610644257703,0.006983849847228284,0.8169934640522876
CACNB2,0.09326263256394252,0.9967320261437908,0.7619047619047619,0.6526610644257703,0.006983849847228284,0.8169934640522876
ITGB3,0.12278020378457051,0.9379370629370628,0.8095238095238095,0.671957671957672,0.22544740288083806,0.5596707818930041
ITGB8,0.08253275109170291,0.9370629370629372,0.7619047619047619,0.7086834733893559,0.2003491924923614,0.5882352941176471
ITGB6,0.08253275109170291,0.9370629370629372,0.7619047619047619,0.7086834733893559,0.2003491924923614,0.5882352941176471
ITGB7,0.08253275109170291,0.9370629370629372,0.7619047619047619,0.7086834733893559,0.2003491924923614,0.5882352941176471
ITGB5,0.08253275109170291,0.9370629370629372,0.7619047619047619,0.7086834733893559,0.2003491924923614,0.5882352941176471
JUP,0.5794759825327516,0.9038461538461536,0.42857142857142855,0.16666666666666666,0.6702313400261894,0.3307692307692307
CTNNB1,0.23311499272197955,0.9012237762237764,0.38095238095238093,0.20105820105820107,0.49781754692274116,0.4017094017094017
SGCB,0.1113537117903928,0.9003496503496503,0.38095238095238093,0.3386243386243386,0.056307289393278045,0.5333333333333333
SNTA1,0.12227074235807835,0.9012237762237764,0.42857142857142855,0.30952380952380953,0.058489742470536885,0.4933333333333333
DAG1,0.1113537117903928,0.9134615384615384,0.42857142857142855,0.3142857142857143,0.0501964207769533,0.4470588235294118
