"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.0384615384615383","0.2699849170437406","0.4905660377358491","0.5303030303030303","HUMAN|HGNC=144|UniProtKB=P63261","Actin, cytoplasmic 2;ACTG1;PTN002485076;orthologs","ACTIN, CYTOPLASMIC 2 (PTHR11937:SF575)","actin and actin related protein(PC00039)","Homo sapiens","12","4","false","ACTG1","14.083333333333334","0","12","0","0.9527972027972027","false","0","ACTG1","8644","0.35208333333333336"
"3.923076923076923","0.0","0.25490196078431376","0.0","HUMAN|HGNC=165|UniProtKB=Q08043","Alpha-actinin-3;ACTN3;PTN002539719;orthologs","ALPHA-ACTININ-3 (PTHR11915:SF432)","actin or actin-binding cytoskeletal protein(PC00041)","Homo sapiens","1","6","false","ACTN3","2.0","0","1","0","0.8671328671328671","false","0","ACTN3","0","0.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=811|UniProtKB=O14983","Sarcoplasmic_endoplasmic reticulum calcium ATPase 1;ATP2A1;PTN002533889;orthologs","SARCOPLASMIC_ENDOPLASMIC RETICULUM CALCIUM ATPASE 1 (PTHR42861:SF24)","primary active transporter(PC00068)","Homo sapiens","2","1","false","ATP2A1","2.0","0","2","0","1.0","false","0","ATP2A1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=813|UniProtKB=Q93084","Sarcoplasmic_endoplasmic reticulum calcium ATPase 3;ATP2A3;PTN002533888;orthologs","SARCOPLASMIC_ENDOPLASMIC RETICULUM CALCIUM ATPASE 3 (PTHR42861:SF6)","primary active transporter(PC00068)","Homo sapiens","2","1","false","ATP2A3","2.0","0","2","0","1.0","false","0","ATP2A3","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=812|UniProtKB=P16615","Sarcoplasmic_endoplasmic reticulum calcium ATPase 2;ATP2A2;PTN002533885;orthologs","SARCOPLASMIC_ENDOPLASMIC RETICULUM CALCIUM ATPASE 2 (PTHR42861:SF18)","primary active transporter(PC00068)","Homo sapiens","2","1","false","ATP2A2","2.0","0","2","0","1.0","false","0","ATP2A2","0","1.0"
"1.0555555555555556","0.03221288515406163","0.9473684210526315","0.8382352941176471","HUMAN|HGNC=1390|UniProtKB=Q13936","Voltage-dependent L-type calcium channel subunit alpha-1C;CACNA1C;PTN002467478;orthologs","VOLTAGE-DEPENDENT L-TYPE CALCIUM CHANNEL SUBUNIT ALPHA-1C (PTHR45628:SF10)","voltage-gated ion channel(PC00241)","Homo sapiens","17","2","false","CACNA1C","14.705882352941176","0","17","0","0.9967320261437908","false","0","CACNA1C","64","0.8169934640522876"
"1.1111111111111112","0.016993464052287587","0.8999999999999999","0.9083333333333333","HUMAN|HGNC=1407|UniProtKB=O60359","Voltage-dependent calcium channel gamma-3 subunit;CACNG3;PTN002486183;orthologs","VOLTAGE-DEPENDENT CALCIUM CHANNEL GAMMA-3 SUBUNIT (PTHR12107:SF5)","voltage-gated ion channel(PC00241)","Homo sapiens","16","2","false","CACNG3","15.3125","0","16","0","0.9934640522875817","false","0","CACNG3","44","0.8506944444444444"
"1.0555555555555556","0.03221288515406163","0.9473684210526315","0.8382352941176471","HUMAN|HGNC=1405|UniProtKB=Q06432","Voltage-dependent calcium channel gamma-1 subunit;CACNG1;PTN002495368;orthologs","VOLTAGE-DEPENDENT CALCIUM CHANNEL GAMMA-1 SUBUNIT (PTHR15025:SF1)","voltage-gated ion channel(PC00241)","Homo sapiens","17","2","false","CACNG1","14.705882352941176","0","17","0","0.9967320261437908","false","0","CACNG1","64","0.8169934640522876"
"1.1666666666666667","0.0","0.8571428571428571","1.0","HUMAN|HGNC=13625|UniProtKB=Q9BXT2","Voltage-dependent calcium channel gamma-6 subunit;CACNG6;PTN002495369;orthologs","VOLTAGE-DEPENDENT CALCIUM CHANNEL GAMMA-6 SUBUNIT (PTHR15025:SF6)","voltage-gated ion channel(PC00241)","Homo sapiens","15","2","false","CACNG6","16.066666666666666","0","15","0","0.9901960784313725","false","0","CACNG6","0","0.8925925925925926"
"1.1111111111111112","0.016993464052287587","0.8999999999999999","0.9083333333333333","HUMAN|HGNC=1408|UniProtKB=Q9UBN1","Voltage-dependent calcium channel gamma-4 subunit;CACNG4;PTN002486185;orthologs","VOLTAGE-DEPENDENT CALCIUM CHANNEL GAMMA-4 SUBUNIT (PTHR12107:SF7)","voltage-gated ion channel(PC00241)","Homo sapiens","16","2","false","CACNG4","15.3125","0","16","0","0.9934640522875817","false","0","CACNG4","44","0.8506944444444444"
"1.1111111111111112","0.016993464052287587","0.8999999999999999","0.9083333333333333","HUMAN|HGNC=1406|UniProtKB=Q9Y698","Voltage-dependent calcium channel gamma-2 subunit;CACNG2;PTN002486181;orthologs","VOLTAGE-DEPENDENT CALCIUM CHANNEL GAMMA-2 SUBUNIT (PTHR12107:SF1)","voltage-gated ion channel(PC00241)","Homo sapiens","16","2","false","CACNG2","15.3125","0","16","0","0.9934640522875817","false","0","CACNG2","44","0.8506944444444444"
"1.6666666666666667","0.0","0.6","1.0","HUMAN|HGNC=1401|UniProtKB=Q02641","Voltage-dependent L-type calcium channel subunit beta-1;CACNB1;PTN002483530;orthologs","VOLTAGE-DEPENDENT L-TYPE CALCIUM CHANNEL SUBUNIT BETA-1 (PTHR11824:SF17)","voltage-gated ion channel(PC00241)","Homo sapiens","7","3","false","CACNB1","16.571428571428573","0","7","0","0.9607843137254901","false","0","CACNB1","0","0.9747899159663865"
"1.1111111111111112","0.016993464052287587","0.8999999999999999","0.9083333333333333",,,,,,"16","2","false","CACNG8","15.3125","0","16","0","0.9934640522875817","false","0","CACNG8","44","0.8506944444444444"
"1.1111111111111112","0.016993464052287587","0.8999999999999999","0.9083333333333333","HUMAN|HGNC=13626|UniProtKB=P62955","Voltage-dependent calcium channel gamma-7 subunit;CACNG7;PTN002486186;orthologs","VOLTAGE-DEPENDENT CALCIUM CHANNEL GAMMA-7 SUBUNIT (PTHR12107:SF12)","voltage-gated ion channel(PC00241)","Homo sapiens","16","2","false","CACNG7","15.3125","0","16","0","0.9934640522875817","false","0","CACNG7","44","0.8506944444444444"
