"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ACTC1","m = 0.61578 
 p = 82.27440","m = 0.46455 
 p = 74.79629","m = 0.02717 
 p = 5.57821","m = 0.01805 
 p = 3.18239","m = 0.01821 
 p = 4.63320","m = 0.01518 
 p = 2.76405","m = 0.09023 
 p = 18.25922","m = 0.05324 
 p = 9.27212","m = 0.03313 
 p = 7.97227","m = 0.02863 
 p = 5.59056","m = 0.00922 
 p = 1.66118","m = 0.00683 
 p = 1.02536"
"TNNT2","m = 0.78010 
 p = 96.07719","m = 0.80985 
 p = 97.18368","m = 0.02920 
 p = 5.62964","m = 0.01900 
 p = 3.31622","m = 0.02188 
 p = 5.55985","m = 0.01338 
 p = 2.25350","m = 0.06078 
 p = 13.62346","m = 0.05840 
 p = 9.71006","m = 0.03894 
 p = 8.57098","m = 0.03226 
 p = 5.67417","m = 0.01156 
 p = 1.82971","m = 0.00584 
 p = 0.91743"
"THBS1","m = 0.04260 
 p = 10.72945","m = 0.05855 
 p = 12.96733","m = 0.18127 
 p = 27.96204","m = 0.01251 
 p = 2.63260","m = 0.03546 
 p = 7.41313","m = 0.02906 
 p = 5.19538","m = 0.05770 
 p = 12.67739","m = 0.05346 
 p = 9.46844","m = 0.09696 
 p = 20.81298","m = 0.37903 
 p = 44.37444","m = 0.01258 
 p = 2.51986","m = 0.02438 
 p = 3.34593"
"ITGB6","m = 0.00360 
 p = 1.38965","m = 0.00496 
 p = 1.78753","m = 0.00055 
 p = 0.15863","m = 0.00016 
 p = 0.03498","m = 0.00066 
 p = 0.23166","m = 0.00032 
 p = 0.06501","m = 0.00126 
 p = 0.85147","m = 0.00012 
 p = 0.06040","m = 0.00103 
 p = 0.55144","m = 0.00039 
 p = 0.11667","m = 0.00028 
 p = 0.06019","m = 0.00000 
 p = 0.00000"
"MYH11","m = 0.06409 
 p = 16.67139","m = 0.00585 
 p = 2.01248","m = 0.01784 
 p = 4.12155","m = 0.01140 
 p = 2.24706","m = 0.01347 
 p = 2.54826","m = 0.12152 
 p = 15.67791","m = 0.01268 
 p = 4.44655","m = 0.03485 
 p = 6.44820","m = 0.01392 
 p = 5.41988","m = 0.00510 
 p = 1.32812","m = 0.01150 
 p = 2.05441","m = 0.02001 
 p = 2.96816"
"TNNC1","m = 0.18020 
 p = 43.02237","m = 0.21203 
 p = 45.51151","m = 0.02512 
 p = 5.18344","m = 0.01641 
 p = 3.05159","m = 0.03040 
 p = 7.10425","m = 0.01197 
 p = 2.23055","m = 0.05020 
 p = 11.73132","m = 0.03727 
 p = 7.49018","m = 0.01724 
 p = 4.85269","m = 0.02640 
 p = 5.66445","m = 0.00789 
 p = 1.42444","m = 0.00444 
 p = 0.70157"
"LAMA1","m = 0.00515 
 p = 1.65538","m = 0.00406 
 p = 1.35546","m = 0.01259 
 p = 3.07703","m = 0.00169 
 p = 0.30873","m = 0.00239 
 p = 0.61776","m = 0.00479 
 p = 0.83275","m = 0.02813 
 p = 7.85241","m = 0.00552 
 p = 1.16279","m = 0.00890 
 p = 3.40318","m = 0.00206 
 p = 0.50558","m = 0.00180 
 p = 0.33304","m = 0.00909 
 p = 1.34916"
"MYH14","m = 0.08923 
 p = 29.63560","m = 0.09715 
 p = 30.00734","m = 0.00502 
 p = 1.42769","m = 0.00153 
 p = 0.45626","m = 0.00433 
 p = 0.77220","m = 0.00240 
 p = 0.55453","m = 0.01357 
 p = 5.77105","m = 0.02593 
 p = 5.57233","m = 0.05864 
 p = 20.37183","m = 0.00322 
 p = 1.06561","m = 0.00141 
 p = 0.36915","m = 0.00665 
 p = 1.02536"
"DAG1","m = 0.05290 
 p = 20.02352","m = 0.07527 
 p = 24.48430","m = 0.03474 
 p = 8.90225","m = 0.02287 
 p = 5.98761","m = 0.03861 
 p = 9.72973","m = 0.02451 
 p = 5.10168","m = 0.03119 
 p = 12.20435","m = 0.14347 
 p = 24.96225","m = 0.04798 
 p = 18.32362","m = 0.01903 
 p = 5.80446","m = 0.01086 
 p = 2.27109","m = 0.01274 
 p = 2.05073"
"DMD","m = 0.96635 
 p = 91.82767","m = 1.00000 
 p = 95.34686","m = 0.18197 
 p = 31.68013","m = 0.01818 
 p = 3.64169","m = 0.03807 
 p = 6.87259","m = 0.23133 
 p = 33.46687","m = 0.12514 
 p = 22.23273","m = 0.35478 
 p = 48.02175","m = 0.67167 
 p = 88.12037","m = 0.04025 
 p = 7.22008","m = 0.00835 
 p = 1.26796","m = 0.03923 
 p = 5.55855"
"MYL9","m = 0.33603 
 p = 67.55026","m = 0.22764 
 p = 55.67721","m = 0.06033 
 p = 13.84014","m = 0.09344 
 p = 19.83803","m = 0.02810 
 p = 7.10425","m = 0.37451 
 p = 48.55966","m = 0.12689 
 p = 31.03122","m = 0.09005 
 p = 17.15494","m = 0.06635 
 p = 20.84449","m = 0.01599 
 p = 4.23521","m = 0.00694 
 p = 1.46457","m = 0.00557 
 p = 0.86346"
"TPM1","m = 0.64365 
 p = 86.80055","m = 0.67020 
 p = 92.28305","m = 0.08922 
 p = 17.95227","m = 0.35808 
 p = 55.02376","m = 0.09250 
 p = 20.84942","m = 0.25538 
 p = 38.58958","m = 0.28166 
 p = 51.46641","m = 0.10998 
 p = 18.37813","m = 0.05306 
 p = 13.89633","m = 0.07976 
 p = 16.64333","m = 0.01867 
 p = 3.17390","m = 0.02377 
 p = 3.66972"
"TNNC2","m = 0.00054 
 p = 0.26791","m = 0.00043 
 p = 0.15940","m = 0.00281 
 p = 0.73377","m = 0.00033 
 p = 0.07832","m = 0.00112 
 p = 0.23166","m = 0.00306 
 p = 0.63675","m = 0.00063 
 p = 0.66225","m = 0.00144 
 p = 0.34733","m = 0.00370 
 p = 1.78037","m = 0.00046 
 p = 0.12834","m = 0.00034 
 p = 0.09229","m = 0.00041 
 p = 0.10793"
"VCL","m = 0.29104 
 p = 61.48418","m = 0.34969 
 p = 69.45834","m = 0.12702 
 p = 26.40035","m = 0.09233 
 p = 19.72701","m = 0.06649 
 p = 15.59846","m = 0.15448 
 p = 26.53715","m = 0.09404 
 p = 24.40870","m = 0.16442 
 p = 28.63183","m = 0.20081 
 p = 52.11911","m = 0.05762 
 p = 14.13876","m = 0.03526 
 p = 6.98178","m = 0.05873 
 p = 9.06638"
"SPTBN2","m = 0.00603 
 p = 2.34149","m = 0.00518 
 p = 1.74401","m = 0.00405 
 p = 1.13940","m = 0.00071 
 p = 0.16349","m = 0.00079 
 p = 0.15444","m = 0.00098 
 p = 0.17974","m = 0.00305 
 p = 2.08136","m = 0.00226 
 p = 0.57384","m = 0.00394 
 p = 1.76461","m = 0.00080 
 p = 0.20807","m = 0.00051 
 p = 0.13643","m = 0.00266 
 p = 0.43173"
"ITGB3","m = 0.02497 
 p = 10.99954","m = 0.00132 
 p = 0.62556","m = 0.01971 
 p = 5.06465","m = 0.00716 
 p = 1.79917","m = 0.02495 
 p = 6.56371","m = 0.00661 
 p = 1.43413","m = 0.01353 
 p = 5.67644","m = 0.00402 
 p = 1.44971","m = 0.01266 
 p = 4.39578","m = 0.00677 
 p = 1.68981","m = 0.00073 
 p = 0.19661","m = 0.00649 
 p = 1.07933"
"SGCB","m = 0.02959 
 p = 10.89935","m = 0.03736 
 p = 12.68942","m = 0.03941 
 p = 9.69541","m = 0.03866 
 p = 9.61180","m = 0.01485 
 p = 4.32432","m = 0.04054 
 p = 8.44990","m = 0.02559 
 p = 11.25828","m = 0.05678 
 p = 11.25038","m = 0.02569 
 p = 10.55617","m = 0.00223 
 p = 0.80115","m = 0.00537 
 p = 1.16363","m = 0.00225 
 p = 0.32380"
"ACTG1","m = 0.20341 
 p = 48.00157","m = 0.23766 
 p = 56.52824","m = 0.18520 
 p = 34.16609","m = 0.49446 
 p = 62.16189","m = 0.20125 
 p = 36.06178","m = 0.24879 
 p = 36.48045","m = 0.33974 
 p = 55.91296","m = 0.17112 
 p = 28.20900","m = 0.06653 
 p = 21.41169","m = 0.27796 
 p = 44.72835","m = 0.36463 
 p = 48.70797","m = 0.02192 
 p = 3.34593"
"TPM3","m = 0.19238 
 p = 41.59134","m = 0.04154 
 p = 12.99355","m = 0.05374 
 p = 13.24545","m = 0.17546 
 p = 34.92643","m = 0.15114 
 p = 32.74131","m = 0.04239 
 p = 8.33995","m = 0.09926 
 p = 29.13907","m = 0.05557 
 p = 11.58260","m = 0.04227 
 p = 16.10210","m = 0.22952 
 p = 47.21347","m = 0.17004 
 p = 30.85226","m = 0.05875 
 p = 8.85051"
"ITGB5","m = 0.04449 
 p = 16.79118","m = 0.05629 
 p = 18.97751","m = 0.09843 
 p = 21.60009","m = 0.06366 
 p = 13.81088","m = 0.01234 
 p = 3.55212","m = 0.04228 
 p = 7.97855","m = 0.05851 
 p = 16.65090","m = 0.02387 
 p = 6.05557","m = 0.09903 
 p = 31.03829","m = 0.09826 
 p = 22.73364","m = 0.00382 
 p = 0.91485","m = 0.00997 
 p = 1.51106"
"MYH9","m = 0.18418 
 p = 44.83239","m = 0.17927 
 p = 45.01809","m = 0.09893 
 p = 21.74858","m = 0.28577 
 p = 49.48937","m = 0.17758 
 p = 38.45560","m = 0.22247 
 p = 36.90687","m = 0.11423 
 p = 29.13907","m = 0.06483 
 p = 13.56086","m = 0.08173 
 p = 26.57949","m = 0.14269 
 p = 33.45001","m = 0.21046 
 p = 35.49474","m = 0.08990 
 p = 13.43767"
"MYH10","m = 0.06725 
 p = 23.17092","m = 0.05359 
 p = 18.06565","m = 0.09210 
 p = 19.73561","m = 0.03858 
 p = 8.54796","m = 0.09788 
 p = 22.08494","m = 0.03052 
 p = 5.45734","m = 0.10645 
 p = 27.15232","m = 0.04525 
 p = 9.83087","m = 0.07127 
 p = 24.83063","m = 0.00777 
 p = 2.22650","m = 0.00964 
 p = 1.86983","m = 0.07265 
 p = 10.57744"
"ACTB","m = 0.35225 
 p = 64.26129","m = 0.30260 
 p = 62.35331","m = 0.25633 
 p = 42.42584","m = 0.65811 
 p = 72.48850","m = 0.35860 
 p = 50.88803","m = 0.36498 
 p = 40.16234","m = 0.43485 
 p = 64.23841","m = 0.23115 
 p = 34.20417","m = 0.12439 
 p = 32.51930","m = 0.56418 
 p = 63.19177","m = 0.60651 
 p = 61.74063","m = 0.04398 
 p = 6.69185"
"CAPZB","m = 0.14897 
 p = 43.20098","m = 0.12667 
 p = 37.44114","m = 0.15775 
 p = 32.58774","m = 0.20733 
 p = 40.19543","m = 0.19899 
 p = 41.46718","m = 0.18130 
 p = 31.75738","m = 0.12763 
 p = 34.05866","m = 0.10792 
 p = 21.00574","m = 0.14791 
 p = 44.08382","m = 0.31494 
 p = 59.40380","m = 0.23306 
 p = 40.29773","m = 0.14555 
 p = 20.93902"
"CAPZA1","m = 0.10744 
 p = 34.30333","m = 0.10598 
 p = 32.67317","m = 0.11550 
 p = 25.14867","m = 0.09612 
 p = 21.13836","m = 0.14121 
 p = 31.58301","m = 0.09451 
 p = 17.27267","m = 0.13634 
 p = 35.95080","m = 0.08555 
 p = 17.29085","m = 0.13908 
 p = 43.46936","m = 0.22835 
 p = 48.27908","m = 0.17244 
 p = 31.06091","m = 0.13143 
 p = 19.42795"
"ITGB1","m = 0.19957 
 p = 50.97689","m = 0.17253 
 p = 46.12973","m = 0.18476 
 p = 36.46590","m = 0.29708 
 p = 50.56918","m = 0.26043 
 p = 47.95367","m = 0.31559 
 p = 47.29571","m = 0.14958 
 p = 37.08609","m = 0.17956 
 p = 31.69737","m = 0.20085 
 p = 52.85962","m = 0.14080 
 p = 33.63474","m = 0.14388 
 p = 26.04927","m = 0.03566 
 p = 5.72045"
