"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"DMD","m = 0.96635 
 p = 91.82767","m = 1.00000 
 p = 95.34686","m = 0.18197 
 p = 31.68013","m = 0.01818 
 p = 3.64169","m = 0.03807 
 p = 6.87259","m = 0.23133 
 p = 33.46687","m = 0.12514 
 p = 22.23273","m = 0.35478 
 p = 48.02175","m = 0.67167 
 p = 88.12037","m = 0.04025 
 p = 7.22008","m = 0.00835 
 p = 1.26796","m = 0.03923 
 p = 5.55855"
"CACNG2","m = 0.00216 
 p = 0.69482","m = 0.00157 
 p = 0.51544","m = 0.00140 
 p = 0.35855","m = 0.00052 
 p = 0.10038","m = 0.00421 
 p = 0.61776","m = 0.00078 
 p = 0.13959","m = 0.00153 
 p = 1.13529","m = 0.00109 
 p = 0.28692","m = 0.00262 
 p = 0.88231","m = 0.00097 
 p = 0.24696","m = 0.00077 
 p = 0.15248","m = 0.00222 
 p = 0.32380"
"CACNG8","m = 0.00093 
 p = 0.31583","m = 0.00072 
 p = 0.24278","m = 0.00072 
 p = 0.19195","m = 0.00211 
 p = 0.50797","m = 0.00068 
 p = 0.15444","m = 0.00062 
 p = 0.11569","m = 0.00101 
 p = 0.56764","m = 0.00091 
 p = 0.24162","m = 0.00108 
 p = 0.53569","m = 0.00097 
 p = 0.25862","m = 0.00034 
 p = 0.06019","m = 0.00268 
 p = 0.37777"
"TGFB1","m = 0.03021 
 p = 9.81464","m = 0.02590 
 p = 8.14221","m = 0.03970 
 p = 8.65959","m = 0.06677 
 p = 15.31349","m = 0.07853 
 p = 18.68726","m = 0.04276 
 p = 7.66495","m = 0.02988 
 p = 10.31220","m = 0.03555 
 p = 7.00695","m = 0.03233 
 p = 12.43107","m = 0.11007 
 p = 26.11131","m = 0.14374 
 p = 26.07335","m = 0.07113 
 p = 10.36158"
"ITGB3","m = 0.02497 
 p = 10.99954","m = 0.00132 
 p = 0.62556","m = 0.01971 
 p = 5.06465","m = 0.00716 
 p = 1.79917","m = 0.02495 
 p = 6.56371","m = 0.00661 
 p = 1.43413","m = 0.01353 
 p = 5.67644","m = 0.00402 
 p = 1.44971","m = 0.01266 
 p = 4.39578","m = 0.00677 
 p = 1.68981","m = 0.00073 
 p = 0.19661","m = 0.00649 
 p = 1.07933"
"CACNG7","m = 0.00087 
 p = 0.30712","m = 0.00069 
 p = 0.22652","m = 0.00052 
 p = 0.12893","m = 0.00018 
 p = 0.03878","m = 0.00081 
 p = 0.15444","m = 0.00074 
 p = 0.13003","m = 0.00169 
 p = 0.85147","m = 0.00037 
 p = 0.10571","m = 0.00144 
 p = 0.53569","m = 0.00040 
 p = 0.10306","m = 0.00028 
 p = 0.05618","m = 0.00184 
 p = 0.26983"
"CACNG3","m = 0.00175 
 p = 0.56849","m = 0.00125 
 p = 0.41110","m = 0.00145 
 p = 0.35783","m = 0.00054 
 p = 0.09962","m = 0.00371 
 p = 0.54054","m = 0.00086 
 p = 0.14533","m = 0.00355 
 p = 1.13529","m = 0.00106 
 p = 0.19632","m = 0.00118 
 p = 0.50418","m = 0.00085 
 p = 0.22168","m = 0.00077 
 p = 0.15649","m = 0.00384 
 p = 0.53967"
"CACNG1","m = 0.00034 
 p = 0.15465","m = 0.00056 
 p = 0.19873","m = 0.00017 
 p = 0.05215","m = 0.00006 
 p = 0.01065","m = 0.00059 
 p = 0.07722","m = 0.00021 
 p = 0.04111","m = 0.00045 
 p = 0.18921","m = 0.00018 
 p = 0.04530","m = 0.00067 
 p = 0.22058","m = 0.00011 
 p = 0.03695","m = 0.00027 
 p = 0.05618","m = 0.00080 
 p = 0.10793"
"SGCB","m = 0.02959 
 p = 10.89935","m = 0.03736 
 p = 12.68942","m = 0.03941 
 p = 9.69541","m = 0.03866 
 p = 9.61180","m = 0.01485 
 p = 4.32432","m = 0.04054 
 p = 8.44990","m = 0.02559 
 p = 11.25828","m = 0.05678 
 p = 11.25038","m = 0.02569 
 p = 10.55617","m = 0.00223 
 p = 0.80115","m = 0.00537 
 p = 1.16363","m = 0.00225 
 p = 0.32380"
"ACTG1","m = 0.20341 
 p = 48.00157","m = 0.23766 
 p = 56.52824","m = 0.18520 
 p = 34.16609","m = 0.49446 
 p = 62.16189","m = 0.20125 
 p = 36.06178","m = 0.24879 
 p = 36.48045","m = 0.33974 
 p = 55.91296","m = 0.17112 
 p = 28.20900","m = 0.06653 
 p = 21.41169","m = 0.27796 
 p = 44.72835","m = 0.36463 
 p = 48.70797","m = 0.02192 
 p = 3.34593"
"ITGAV","m = 0.14867 
 p = 41.63490","m = 0.20250 
 p = 51.23014","m = 0.11792 
 p = 24.59020","m = 0.08373 
 p = 17.04802","m = 0.13105 
 p = 27.41313","m = 0.03588 
 p = 7.15631","m = 0.09050 
 p = 22.42195","m = 0.14296 
 p = 25.61160","m = 0.12871 
 p = 36.80479","m = 0.08210 
 p = 19.77404","m = 0.02523 
 p = 4.93540","m = 0.04671 
 p = 7.06962"
"ITGB5","m = 0.04449 
 p = 16.79118","m = 0.05629 
 p = 18.97751","m = 0.09843 
 p = 21.60009","m = 0.06366 
 p = 13.81088","m = 0.01234 
 p = 3.55212","m = 0.04228 
 p = 7.97855","m = 0.05851 
 p = 16.65090","m = 0.02387 
 p = 6.05557","m = 0.09903 
 p = 31.03829","m = 0.09826 
 p = 22.73364","m = 0.00382 
 p = 0.91485","m = 0.00997 
 p = 1.51106"
"ACTB","m = 0.35225 
 p = 64.26129","m = 0.30260 
 p = 62.35331","m = 0.25633 
 p = 42.42584","m = 0.65811 
 p = 72.48850","m = 0.35860 
 p = 50.88803","m = 0.36498 
 p = 40.16234","m = 0.43485 
 p = 64.23841","m = 0.23115 
 p = 34.20417","m = 0.12439 
 p = 32.51930","m = 0.56418 
 p = 63.19177","m = 0.60651 
 p = 61.74063","m = 0.04398 
 p = 6.69185"
"ITGB1","m = 0.19957 
 p = 50.97689","m = 0.17253 
 p = 46.12973","m = 0.18476 
 p = 36.46590","m = 0.29708 
 p = 50.56918","m = 0.26043 
 p = 47.95367","m = 0.31559 
 p = 47.29571","m = 0.14958 
 p = 37.08609","m = 0.17956 
 p = 31.69737","m = 0.20085 
 p = 52.85962","m = 0.14080 
 p = 33.63474","m = 0.14388 
 p = 26.04927","m = 0.03566 
 p = 5.72045"
