#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
KAT2B	MAML1	9606.ENSP00000263754	9606.ENSP00000292599	0	0	0.800	0	0.800
LFNG	MFNG	9606.ENSP00000222725	9606.ENSP00000349490	0	0	0.900	0	0.900
LFNG	RFNG	9606.ENSP00000222725	9606.ENSP00000307971	0	0	0.900	0	0.900
MAML1	NOTCH2	9606.ENSP00000292599	9606.ENSP00000256646	0	0.292	0.800	0	0.852
MAML1	NOTCH3	9606.ENSP00000292599	9606.ENSP00000263388	0	0.292	0.800	0	0.852
MAML1	NOTCH4	9606.ENSP00000292599	9606.ENSP00000364163	0	0.292	0.800	0	0.852
MAML1	RBPJL	9606.ENSP00000292599	9606.ENSP00000341243	0	0	0.800	0	0.800
MAML1	MAML3	9606.ENSP00000292599	9606.ENSP00000421180	0	0.292	0.900	0	0.926
MAML1	MAML2	9606.ENSP00000292599	9606.ENSP00000434552	0	0.292	0.900	0	0.926
MAML1	RBPJ	9606.ENSP00000292599	9606.ENSP00000345206	0	0.960	0.900	0	0.995
MAML1	NOTCH1	9606.ENSP00000292599	9606.ENSP00000498587	0	0.960	0.900	0	0.995
MAML2	NOTCH2	9606.ENSP00000434552	9606.ENSP00000256646	0	0	0.800	0	0.800
MAML2	NOTCH3	9606.ENSP00000434552	9606.ENSP00000263388	0	0	0.800	0	0.800
MAML2	RBPJL	9606.ENSP00000434552	9606.ENSP00000341243	0	0	0.800	0	0.800
MAML2	RBPJ	9606.ENSP00000434552	9606.ENSP00000345206	0	0.292	0.800	0	0.852
MAML2	NOTCH4	9606.ENSP00000434552	9606.ENSP00000364163	0	0	0.800	0	0.800
MAML2	MAML3	9606.ENSP00000434552	9606.ENSP00000421180	0	0	0.900	0	0.900
MAML2	NOTCH1	9606.ENSP00000434552	9606.ENSP00000498587	0	0.292	0.800	0	0.852
MAML3	NOTCH2	9606.ENSP00000421180	9606.ENSP00000256646	0	0	0.800	0	0.800
MAML3	NOTCH3	9606.ENSP00000421180	9606.ENSP00000263388	0	0	0.800	0	0.800
MAML3	RBPJL	9606.ENSP00000421180	9606.ENSP00000341243	0	0	0.800	0	0.800
MAML3	RBPJ	9606.ENSP00000421180	9606.ENSP00000345206	0	0.292	0.800	0	0.852
MAML3	NOTCH4	9606.ENSP00000421180	9606.ENSP00000364163	0	0	0.800	0	0.800
