"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.391304347826087","0.0","0.4181818181818182","1.0","HUMAN|HGNC=1974|UniProtKB=O15111","Inhibitor of nuclear factor kappa-B kinase subunit alpha;CHUK;PTN002506459;orthologs","INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE SUBUNIT ALPHA (PTHR22969:SF13)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","3","false","CHUK","6.666666666666667","0","3","0","0.8454106280193237","false","0","CHUK","0","0.6060606060606061"
"1.7826086956521738","0.17726017943409247","0.5609756097560976","0.32142857142857145","HUMAN|HGNC=5961|UniProtKB=Q9Y6K9","NF-kappa-B essential modulator;IKBKG;PTN002527037;orthologs","NF-KAPPA-B ESSENTIAL MODULATOR (PTHR31553:SF3)",,"Homo sapiens","8","3","false","IKBKG","5.875","0","8","0","0.9130434782608696","false","0","IKBKG","232","0.3026315789473684"
"2.1739130434782608","0.005270092226613965","0.46","0.8333333333333334","HUMAN|HGNC=5960|UniProtKB=O14920","Inhibitor of nuclear factor kappa-B kinase subunit beta;IKBKB;PTN002506460;orthologs","INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE SUBUNIT BETA (PTHR22969:SF7)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","4","3","false","IKBKB","7.0","0","4","0","0.8695652173913043","false","0","IKBKB","10","0.4666666666666667"
"2.608695652173913","0.0","0.3833333333333333","1.0",,,,,,"2","4","false","DDX58","8.0","0","2","0","0.821256038647343","false","0","DDX58","0","0.7272727272727273"
"2.3043478260869565","0.03727962858397641","0.4339622641509434","0.47619047619047616","HUMAN|HGNC=6118|UniProtKB=Q14653","Interferon regulatory factor 3;IRF3;PTN002485287;orthologs","INTERFERON REGULATORY FACTOR 3 (PTHR11949:SF1)","winged helix/forkhead transcription factor(PC00246)","Homo sapiens","7","4","false","IRF3","5.0","0","7","0","0.8550724637681159","false","0","IRF3","50","0.4166666666666667"
"1.7826086956521738","0.22837380011293051","0.5609756097560976","0.3055555555555556","HUMAN|HGNC=29233|UniProtKB=Q7Z434","Mitochondrial antiviral-signaling protein;MAVS;PTN002502010;orthologs","MITOCHONDRIAL ANTIVIRAL-SIGNALING PROTEIN (PTHR21446:SF6)",,"Homo sapiens","9","3","false","MAVS","5.444444444444445","0","9","0","0.9130434782608696","false","0","MAVS","248","0.2962962962962963"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=2960|UniProtKB=O00115","Deoxyribonuclease-2-alpha;DNASE2;PTN002474564;orthologs","DEOXYRIBONUCLEASE-2-ALPHA (PTHR10858:SF9)","endodeoxyribonuclease(PC00093)","Homo sapiens","1","1","false","DNASE2","1.0","0","1","0","1.0","false","0","DNASE2","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=28875|UniProtKB=Q8WZ79","Deoxyribonuclease-2-beta;DNASE2B;PTN002474563;orthologs","DEOXYRIBONUCLEASE-2-BETA (PTHR10858:SF2)","endodeoxyribonuclease(PC00093)","Homo sapiens","1","1","false","DNASE2B","1.0","0","1","0","1.0","false","0","DNASE2B","0","0.0"
"1.0","0.0","1.0","0.0",,,,,,"1","1","false","IFNA1","1.0","0","1","0","1.0","false","0","IFNA1","0","0.0"
"1.0","0.0","1.0","0.0",,,,,,"1","1","false","IFNA13","1.0","0","1","0","1.0","false","0","IFNA13","0","0.0"
"2.3043478260869565","0.021089779785431955","0.4339622641509434","0.7","HUMAN|HGNC=14552|UniProtKB=Q14164","Inhibitor of nuclear factor kappa-B kinase subunit epsilon;IKBKE;PTN002506462;orthologs","INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE SUBUNIT EPSILON (PTHR22969:SF10)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","5","4","false","IKBKE","7.0","0","5","0","0.8550724637681159","false","0","IKBKE","40","0.5"
"2.130434782608696","0.046891272978229495","0.4693877551020408","0.5238095238095238","HUMAN|HGNC=11584|UniProtKB=Q9UHD2","Serine_threonine-protein kinase TBK1;TBK1;PTN002506461;orthologs","SERINE_THREONINE-PROTEIN KINASE TBK1 (PTHR22969:SF14)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","7","4","false","TBK1","5.857142857142857","0","7","0","0.8743961352657005","false","0","TBK1","84","0.3904761904761905"
"2.652173913043478","0.0026350461133069825","0.3770491803278689","0.8333333333333334","HUMAN|HGNC=6122|UniProtKB=Q92985","Interferon regulatory factor 7;IRF7;PTN002485277;orthologs","INTERFERON REGULATORY FACTOR 7 (PTHR11949:SF2)","winged helix/forkhead transcription factor(PC00246)","Homo sapiens","4","4","false","IRF7","6.0","0","4","0","0.8164251207729468","false","0","IRF7","6","0.6"
"2.260869565217391","0.07491059664972707","0.44230769230769235","0.4","HUMAN|HGNC=16176|UniProtKB=Q9H171","Z-DNA-binding protein 1;ZBP1;PTN002495283;orthologs","Z-DNA-BINDING PROTEIN 1 (PTHR14966:SF0)","DNA metabolism protein(PC00009)","Homo sapiens","5","4","false","ZBP1","6.2","0","5","0","0.8599033816425121","false","0","ZBP1","96","0.41333333333333333"
"2.5652173913043477","0.0","0.3898305084745763","1.0","HUMAN|HGNC=27962|UniProtKB=Q86WV6","Stimulator of interferon genes protein;STING1;PTN002531724;orthologs","STIMULATOR OF INTERFERON GENES PROTEIN (PTHR34339:SF1)",,"Homo sapiens","3","4","false","STING1","7.666666666666667","0","3","0","0.8260869565217391","false","0","STING1","0","0.696969696969697"
"2.9130434782608696","0.0","0.34328358208955223","0.0","HUMAN|HGNC=6998|UniProtKB=O15553","Pyrin;MEFV;PTN002555893;orthologs","PYRIN (PTHR24103:SF606)","ubiquitin-protein ligase(PC00234)","Homo sapiens","1","4","false","MEFV","7.0","0","1","0","0.7874396135265701","false","0","MEFV","0","0.0"
"3.0434782608695654","0.0","0.32857142857142857","0.0","HUMAN|HGNC=26617|UniProtKB=Q8NB16","Mixed lineage kinase domain-like protein;MLKL;PTN002553195;orthologs","MIXED LINEAGE KINASE DOMAIN-LIKE PROTEIN (PTHR44329:SF298)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","1","4","false","MLKL","5.0","0","1","0","0.7729468599033816","false","0","MLKL","0","0.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=7794|UniProtKB=P19838","Nuclear factor NF-kappa-B p105 subunit;NFKB1;PTN002516581;orthologs","NUCLEAR FACTOR NF-KAPPA-B P105 SUBUNIT (PTHR24169:SF9)","Rel homology transcription factor(PC00252)","Homo sapiens","3","1","false","NFKB1","3.0","0","3","0","1.0","false","0","NFKB1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=7797|UniProtKB=P25963","NF-kappa-B inhibitor alpha;NFKBIA;PTN002516428;orthologs","NF-KAPPA-B INHIBITOR ALPHA (PTHR46680:SF1)",,"Homo sapiens","3","1","false","NFKBIA","3.0","0","3","0","1.0","false","0","NFKBIA","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=7798|UniProtKB=Q15653","NF-kappa-B inhibitor beta;NFKBIB;PTN002516427;orthologs","NF-KAPPA-B INHIBITOR BETA (PTHR47303:SF1)",,"Homo sapiens","3","1","false","NFKBIB","3.0","0","3","0","1.0","false","0","NFKBIB","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=9955|UniProtKB=Q04206","Transcription factor p65;RELA;PTN002516588;orthologs","TRANSCRIPTION FACTOR P65 (PTHR24169:SF1)","Rel homology transcription factor(PC00252)","Homo sapiens","3","1","false","RELA","3.0","0","3","0","1.0","false","0","RELA","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=20194|UniProtKB=O15160","DNA-directed RNA polymerases I and III subunit RPAC1;POLR1C;PTN002483232;orthologs","DNA-DIRECTED RNA POLYMERASES I AND III SUBUNIT RPAC1 (PTHR11800:SF13)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR1C","16.0","0","16","0","1.0","false","0","POLR1C","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=30348|UniProtKB=Q9NW08","DNA-directed RNA polymerase III subunit RPC2;POLR3B;PTN002500951;orthologs","DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC2 (PTHR20856:SF8)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR3B","16.0","0","16","0","1.0","false","0","POLR3B","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=14121|UniProtKB=Q9Y2Y1","DNA-directed RNA polymerase III subunit RPC10;POLR3K;;orthologs",,,"Homo sapiens","16","1","false","POLR3K","16.0","0","16","0","1.0","false","0","POLR3K","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=30347|UniProtKB=Q9NVU0","DNA-directed RNA polymerase III subunit RPC5;POLR3E;PTN002486080;orthologs","DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC5 (PTHR12069:SF0)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR3E","16.0","0","16","0","1.0","false","0","POLR3E","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=20422|UniProtKB=P0DPB6","DNA-directed RNA polymerases I and III subunit RPAC2;POLR1D;PTN002493451;orthologs","DNA-DIRECTED RNA POLYMERASES I AND III SUBUNIT RPAC2 (PTHR13946:SF28)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR1D","16.0","0","16","0","1.0","false","0","POLR1D","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=9199|UniProtKB=P62875","DNA-directed RNA polymerases I, II, and III subunit RPABC5;POLR2L;PTN002512145;orthologs","DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC5 (PTHR23431:SF11)","DNA metabolism protein(PC00009)","Homo sapiens","16","1","false","POLR2L","16.0","0","16","0","1.0","false","0","POLR2L","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=30076|UniProtKB=Q9BUI4","DNA-directed RNA polymerase III subunit RPC3;POLR3C;PTN002490211;orthologs","DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC3 (PTHR12949:SF0)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR3C","16.0","0","16","0","1.0","false","0","POLR3C","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=9198|UniProtKB=P53803","DNA-directed RNA polymerases I, II, and III subunit RPABC4;POLR2K;PTN002486044;orthologs","DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC4 (PTHR12056:SF4)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR2K","16.0","0","16","0","1.0","false","0","POLR2K","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=30349|UniProtKB=Q9Y535","DNA-directed RNA polymerase III subunit RPC8;POLR3H;PTN002489467;orthologs","DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC8 (PTHR12709:SF1)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR3H","16.0","0","16","0","1.0","false","0","POLR3H","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=28466|UniProtKB=Q9BT43","DNA-directed RNA polymerase III subunit RPC7-like;POLR3GL;PTN002495900;orthologs","DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC7-LIKE (PTHR15367:SF4)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR3GL","16.0","0","16","0","1.0","false","0","POLR3GL","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=30074|UniProtKB=O14802","DNA-directed RNA polymerase III subunit RPC1;POLR3A;PTN002500228;orthologs","DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC1 (PTHR19376:SF32)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR3A","16.0","0","16","0","1.0","false","0","POLR3A","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=15763|UniProtKB=Q9H1D9","DNA-directed RNA polymerase III subunit RPC6;POLR3F;PTN002489680;orthologs","DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC6 (PTHR12780:SF1)","DNA metabolism protein(PC00009)","Homo sapiens","16","1","false","POLR3F","16.0","0","16","0","1.0","false","0","POLR3F","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=1080|UniProtKB=P05423","DNA-directed RNA polymerase III subunit RPC4;POLR3D;PTN002491558;orthologs","DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC4 (PTHR13408:SF0)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR3D","16.0","0","16","0","1.0","false","0","POLR3D","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=9193|UniProtKB=P61218","DNA-directed RNA polymerases I, II, and III subunit RPABC2;POLR2F;PTN002473503;orthologs","DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC2 (PTHR47227:SF5)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR2F","16.0","0","16","0","1.0","false","0","POLR2F","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=9195|UniProtKB=P52434","DNA-directed RNA polymerases I, II, and III subunit RPABC3;POLR2H;PTN002475047;orthologs","DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC3 (PTHR10917:SF0)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR2H","16.0","0","16","0","1.0","false","0","POLR2H","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=9192|UniProtKB=P19388","DNA-directed RNA polymerases I, II, and III subunit RPABC1;POLR2E;PTN002471432;orthologs","DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC1 (PTHR10535:SF0)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR2E","16.0","0","16","0","1.0","false","0","POLR2E","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=30075|UniProtKB=O15318","DNA-directed RNA polymerase III subunit RPC7;POLR3G;PTN002495898;orthologs","DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC7 (PTHR15367:SF3)","DNA-directed RNA polymerase(PC00019)","Homo sapiens","16","1","false","POLR3G","16.0","0","16","0","1.0","false","0","POLR3G","0","1.0"
