"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"GNAI2","m = 0.01560 
 p = 6.15539","m = 0.01028 
 p = 3.79634","m = 0.04320 
 p = 10.76020","m = 0.30070 
 p = 48.22630","m = 0.21542 
 p = 40.92664","m = 0.04642 
 p = 9.61919","m = 0.05429 
 p = 19.77294","m = 0.06105 
 p = 12.17155","m = 0.03088 
 p = 12.71467","m = 0.18513 
 p = 39.33419","m = 0.09674 
 p = 18.76655","m = 0.04118 
 p = 6.09822"
"CALM1","m = 0.08937 
 p = 27.84300","m = 0.08374 
 p = 25.82245","m = 0.08535 
 p = 18.80627","m = 0.45261 
 p = 62.49192","m = 0.20910 
 p = 37.45174","m = 0.11642 
 p = 20.50328","m = 0.06916 
 p = 22.32734","m = 0.11878 
 p = 21.71549","m = 0.07413 
 p = 25.47660","m = 0.17149 
 p = 34.95897","m = 0.33609 
 p = 49.79937","m = 0.04525 
 p = 6.79978"
"ITPR1","m = 0.11102 
 p = 33.22297","m = 0.05712 
 p = 17.66766","m = 0.16895 
 p = 31.32954","m = 0.08151 
 p = 15.92107","m = 0.05143 
 p = 12.04633","m = 0.19372 
 p = 30.45424","m = 0.04971 
 p = 13.24503","m = 0.11574 
 p = 21.68529","m = 0.20353 
 p = 51.22105","m = 0.03741 
 p = 9.28713","m = 0.07975 
 p = 13.55429","m = 0.37052 
 p = 48.24609"
"NFATC1","m = 0.01922 
 p = 8.17669","m = 0.01800 
 p = 6.79723","m = 0.03213 
 p = 7.70418","m = 0.03030 
 p = 7.00430","m = 0.09079 
 p = 19.15058","m = 0.00808 
 p = 1.64256","m = 0.03280 
 p = 10.87985","m = 0.01837 
 p = 4.18303","m = 0.03061 
 p = 11.98992","m = 0.04136 
 p = 11.02750","m = 0.03963 
 p = 7.63181","m = 0.01746 
 p = 2.80626"
"GNAI1","m = 0.01961 
 p = 7.27930","m = 0.00945 
 p = 3.47176","m = 0.01680 
 p = 4.36275","m = 0.06889 
 p = 14.07931","m = 0.05241 
 p = 11.19691","m = 0.06549 
 p = 11.98168","m = 0.04916 
 p = 16.08325","m = 0.02193 
 p = 4.87768","m = 0.12660 
 p = 34.86687","m = 0.00711 
 p = 1.88621","m = 0.00282 
 p = 0.61793","m = 0.08897 
 p = 12.89800"
"ADCY6","m = 0.10665 
 p = 33.66731","m = 0.14667 
 p = 40.86886","m = 0.02131 
 p = 5.61081","m = 0.01153 
 p = 2.95198","m = 0.02325 
 p = 5.63707","m = 0.11063 
 p = 19.11696","m = 0.01571 
 p = 6.52791","m = 0.03098 
 p = 7.18816","m = 0.13932 
 p = 39.13660","m = 0.00681 
 p = 2.23622","m = 0.00147 
 p = 0.41730","m = 0.00775 
 p = 1.24123"
"EDNRB","m = 0.00378 
 p = 1.72725","m = 0.00110 
 p = 0.33873","m = 0.09861 
 p = 19.66608","m = 0.07006 
 p = 13.62990","m = 0.14377 
 p = 30.81081","m = 0.14831 
 p = 24.43854","m = 0.01273 
 p = 5.20341","m = 0.07985 
 p = 15.01057","m = 0.03650 
 p = 12.62014","m = 0.01791 
 p = 4.51134","m = 0.00158 
 p = 0.37718","m = 0.01716 
 p = 2.48246"
"PPP3R1","m = 0.04901 
 p = 18.28320","m = 0.02555 
 p = 9.74307","m = 0.05443 
 p = 13.36714","m = 0.05030 
 p = 11.91514","m = 0.06774 
 p = 16.21622","m = 0.01606 
 p = 3.39411","m = 0.03537 
 p = 12.01514","m = 0.03659 
 p = 7.92812","m = 0.08099 
 p = 21.63227","m = 0.14334 
 p = 30.09373","m = 0.06039 
 p = 11.30327","m = 0.03966 
 p = 5.93632"
"CALM3","m = 0.02578 
 p = 8.85844","m = 0.02035 
 p = 7.01589","m = 0.02202 
 p = 5.71149","m = 0.06103 
 p = 14.39869","m = 0.04663 
 p = 12.74131","m = 0.03973 
 p = 8.50344","m = 0.02923 
 p = 13.24503","m = 0.02619 
 p = 5.85926","m = 0.01055 
 p = 4.52182","m = 0.09129 
 p = 20.78910","m = 0.07809 
 p = 15.58462","m = 0.00502 
 p = 0.97140"
"CNGB1","m = 0.00202 
 p = 0.65779","m = 0.00154 
 p = 0.52593","m = 0.00120 
 p = 0.29916","m = 0.00043 
 p = 0.07908","m = 0.00373 
 p = 0.54054","m = 0.00067 
 p = 0.11951","m = 0.00152 
 p = 0.75686","m = 0.00135 
 p = 0.28692","m = 0.00177 
 p = 0.69324","m = 0.00104 
 p = 0.28390","m = 0.00042 
 p = 0.09229","m = 0.00349 
 p = 0.48570"
