name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
NFATC1,0.598533163265306,0.889030612244898,0.5333333333333333,0.5252525252525252,1.0,0.3986928104575163
PPP3CA,0.46007197521865895,0.903061224489796,0.4666666666666667,0.6590909090909091,0.7751102400783929,0.3055555555555556
CALM3,0.3663346290897311,0.8979591836734694,1.0,0.4431818181818182,0.6114649681528662,0.2447916666666666
CREB1,0.3826530612244897,0.8227040816326531,0.6,0.7090909090909091,0.4453699167074963,0.58
SRF,0.4196124878522836,0.860969387755102,0.4,0.6103896103896104,0.5320921117099461,0.3984962406015037
CALM1,0.38693006964690624,0.8966836734693877,0.6666666666666666,0.5123966942148761,0.4919157275845174,0.2552447552447552
ATP1B1,0.03787878787878787,0.9833333333333334,0.6,0.7454545454545454,0.008819206271435572,0.7666666666666667
ATP1A2,0.03787878787878787,0.9833333333333334,0.6,0.7454545454545454,0.008819206271435572,0.7666666666666667
ATP1A3,0.03787878787878787,0.9833333333333334,0.6,0.7454545454545454,0.008819206271435572,0.7666666666666667
ATP1B3,0.03787878787878787,0.9833333333333334,0.6,0.7454545454545454,0.008819206271435572,0.7666666666666667
ATP1B2,0.03787878787878787,0.9833333333333334,0.6,0.7454545454545454,0.008819206271435572,0.7666666666666667
ATP1A1,0.03787878787878787,0.9833333333333334,0.6,0.7454545454545454,0.008819206271435572,0.7666666666666667
ATP2A2,0.17045454545454536,0.975,0.5333333333333333,0.6666666666666667,0.023517883390494855,0.6944444444444444
PLN,0.17045454545454536,0.975,0.5333333333333333,0.6666666666666667,0.023517883390494855,0.6944444444444444
ITPR1,0.8333333333333333,1.0,0.13333333333333333,0.060606060606060615,0.0009799118079372856,0.6666666666666666
NOS3,0.1658163265306121,0.860969387755102,0.4666666666666667,0.5795454545454546,0.2572268495835375,0.3625
PPP3R1,0.14800726838354375,0.8915816326530612,0.3333333333333333,0.6363636363636364,0.27878490935815775,0.32
CALM2,0.10132713799805623,0.889030612244898,0.5333333333333333,0.5555555555555555,0.22978931896129348,0.2962962962962963
MEF2B,0.0048590864917395,0.8354591836734694,0.3333333333333333,0.5909090909090909,0.04164625183733464,0.75
MEF2A,0.0048590864917395,0.8354591836734694,0.3333333333333333,0.5909090909090909,0.04164625183733464,0.75
MEF2D,0.009535957240038749,0.8494897959183674,0.4,0.5714285714285714,0.05242528172464478,0.6623376623376623
NFATC3,0.010280004859086376,0.8507653061224489,0.4666666666666667,0.5340909090909091,0.05389514943655071,0.625
NFATC2,0.010280004859086376,0.8507653061224489,0.4666666666666667,0.5340909090909091,0.05389514943655071,0.625
NFATC4,0.0054209183673468745,0.8099489795918368,0.4,0.5194805194805195,0.01224889759921607,0.746031746031746
GATA4,0.0048590864917395,0.846938775510204,0.26666666666666666,0.6181818181818182,0.04164625183733464,0.7090909090909091
CACNA1C,0.04889455782312925,0.8545918367346939,0.3333333333333333,0.6363636363636364,0.1499265066144047,0.4
CACNA1S,0.04889455782312925,0.8545918367346939,0.3333333333333333,0.6363636363636364,0.1499265066144047,0.4
GNAQ,1.0,0.9166666666666669,0.2,0.045454545454545456,0.005879470847623714,0.25
PPP3CB,0.014711390508584374,0.8775510204081632,0.3333333333333333,0.6666666666666667,0.03135717785399314,0.4166666666666667
CNGB1,0.051020408163265245,0.840561224489796,0.13333333333333333,0.6969696969696969,0.06712395884370406,0.5208333333333334
GNAI2,0.5357142857142856,0.875,0.2,0.22727272727272727,0.005879470847623714,0.4642857142857143
PPP3CC,0.00327229105928075,0.8673469387755102,0.26666666666666666,0.6363636363636364,0.009309162175404213,0.4444444444444444
ADCY8,0.19309807256235811,0.8494897959183674,0.26666666666666666,0.36363636363636365,0.1842234198922097,0.3125
GNAI3,0.3125,0.84375,0.2,0.20454545454545456,0.0034296913277804997,0.5
EDNRB,0.3125,0.84375,0.2,0.20454545454545456,0.0034296913277804997,0.5
GNAI1,0.3125,0.84375,0.2,0.20454545454545456,0.0034296913277804997,0.5
ADCY1,0.03808815192743762,0.8456632653061225,0.13333333333333333,0.5151515151515151,0.06075453209211171,0.4444444444444444
ADCY3,0.03312783446712012,0.7946428571428572,0.2,0.25,0.06271435570798628,0.5357142857142857
AKT1,0.09991496598639449,0.8048469387755102,0.13333333333333333,0.2727272727272727,0.1567858892699657,0.4074074074074074
ADCY6,0.06838151927437625,0.7959183673469388,0.26666666666666666,0.1636363636363636,0.06516413522782949,0.4333333333333333
