"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"LAMA5","m = 0.06485 
 p = 15.22511","m = 0.05574 
 p = 12.41099","m = 0.00899 
 p = 1.64934","m = 0.16841 
 p = 22.79533","m = 0.01488 
 p = 2.62548","m = 0.06097 
 p = 7.85425","m = 0.06541 
 p = 13.52886","m = 0.02618 
 p = 3.89610","m = 0.02477 
 p = 6.82212","m = 0.00480 
 p = 1.07144","m = 0.00326 
 p = 0.56175","m = 0.00455 
 p = 0.43173"
"TLN2","m = 0.19604 
 p = 36.90401","m = 0.35155 
 p = 54.84767","m = 0.27962 
 p = 33.82058","m = 0.06061 
 p = 8.11908","m = 0.03396 
 p = 4.71042","m = 0.11031 
 p = 12.01419","m = 0.08975 
 p = 16.55629","m = 0.28732 
 p = 30.95741","m = 0.62592 
 p = 73.97196","m = 0.05084 
 p = 8.10874","m = 0.00847 
 p = 1.19172","m = 0.02856 
 p = 2.91419"
"EGFR","m = 0.12948 
 p = 25.20311","m = 0.00282 
 p = 0.70578","m = 0.48861 
 p = 50.98910","m = 0.09905 
 p = 12.34098","m = 0.01778 
 p = 2.85714","m = 0.17079 
 p = 18.74504","m = 0.28707 
 p = 35.57237","m = 0.06693 
 p = 9.16641","m = 0.45589 
 p = 63.16370","m = 0.01247 
 p = 2.08260","m = 0.00317 
 p = 0.45743","m = 0.00654 
 p = 0.70157"
"ITGA1","m = 0.01260 
 p = 2.97532","m = 0.00635 
 p = 1.51329","m = 0.10654 
 p = 15.25044","m = 0.54261 
 p = 54.69450","m = 0.39764 
 p = 46.71815","m = 0.31125 
 p = 32.54520","m = 0.05126 
 p = 10.87985","m = 0.32616 
 p = 35.06494","m = 0.14671 
 p = 28.76950","m = 0.01222 
 p = 1.96982","m = 0.02957 
 p = 3.32638","m = 0.02265 
 p = 2.32056"
"ITGA2B","m = 0.01334 
 p = 3.43055","m = 0.00261 
 p = 0.62031","m = 0.00290 
 p = 0.50560","m = 0.00238 
 p = 0.33915","m = 0.00513 
 p = 0.77220","m = 0.00251 
 p = 0.30212","m = 0.00247 
 p = 1.32450","m = 0.00366 
 p = 0.61915","m = 0.00812 
 p = 2.36332","m = 0.00125 
 p = 0.24307","m = 0.00160 
 p = 0.21668","m = 0.00290 
 p = 0.32380"
"ITGA10","m = 0.01600 
 p = 3.51550","m = 0.00258 
 p = 0.62608","m = 0.01637 
 p = 2.57579","m = 0.06127 
 p = 8.19513","m = 0.01785 
 p = 2.85714","m = 0.01922 
 p = 2.44663","m = 0.03649 
 p = 6.24409","m = 0.03853 
 p = 4.66626","m = 0.01386 
 p = 3.76556","m = 0.00502 
 p = 0.96644","m = 0.00360 
 p = 0.51360","m = 0.00702 
 p = 0.75553"
"ITGA8","m = 0.00567 
 p = 1.13916","m = 0.00302 
 p = 0.67065","m = 0.04213 
 p = 6.03238","m = 0.04791 
 p = 6.21573","m = 0.05421 
 p = 7.49035","m = 0.07437 
 p = 7.59993","m = 0.01673 
 p = 4.06812","m = 0.01370 
 p = 2.18967","m = 0.01913 
 p = 4.41153","m = 0.00240 
 p = 0.42780","m = 0.00360 
 p = 0.49755","m = 0.00852 
 p = 0.91743"
"LAMC1","m = 0.13315 
 p = 28.83405","m = 0.13975 
 p = 28.52866","m = 0.69448 
 p = 67.16816","m = 0.14315 
 p = 19.92548","m = 0.31567 
 p = 40.07722","m = 0.18565 
 p = 21.09128","m = 0.14789 
 p = 22.89499","m = 0.38022 
 p = 39.94262","m = 0.54342 
 p = 70.53726","m = 0.04738 
 p = 8.22152","m = 0.00777 
 p = 1.16764","m = 0.01532 
 p = 1.61900"
"LAMB1","m = 0.02965 
 p = 7.10287","m = 0.05175 
 p = 11.26789","m = 0.50539 
 p = 53.31716","m = 0.09613 
 p = 12.85578","m = 0.15437 
 p = 21.54440","m = 0.17702 
 p = 18.90471","m = 0.28125 
 p = 39.73510","m = 0.41793 
 p = 41.83026","m = 0.41521 
 p = 58.67339","m = 0.01697 
 p = 2.96737","m = 0.00525 
 p = 0.79849","m = 0.00800 
 p = 0.86346"
"ITGA3","m = 0.08138 
 p = 18.80159","m = 0.06974 
 p = 15.29705","m = 0.00673 
 p = 1.29151","m = 0.01909 
 p = 3.39227","m = 0.03159 
 p = 5.48263","m = 0.05044 
 p = 6.49183","m = 0.09813 
 p = 18.82687","m = 0.02783 
 p = 4.27363","m = 0.00786 
 p = 2.47361","m = 0.00429 
 p = 1.03255","m = 0.00683 
 p = 0.93492","m = 0.03080 
 p = 3.13006"
