name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
PTK2,0.3678683093600349,0.9705882352941176,0.6923076923076923,0.47510822510822504,1.0,0.2452731092436974
ITGB1,0.4223361559326273,0.9737745098039216,1.0,0.4143939393939394,0.5983778912586363,0.1983108108108108
ITGB3,0.20979466919634962,0.9708333333333334,0.8205128205128205,0.47566574839302106,0.28829978972664466,0.2351685872812633
ITGB2,0.09574794470541945,0.9602941176470589,0.5897435897435898,0.5353535353535354,0.3822469209972965,0.3325892857142857
ITGB5,0.04666928370052365,0.9681372549019608,0.6410256410256411,0.5757575757575758,0.20674376689696605,0.2985074626865671
ITGB7,0.07586170461811005,0.9681372549019608,0.6666666666666666,0.5420875420875421,0.17114749173926103,0.29002849002849
ITGAL,0.042080908711813206,0.9598039215686274,0.5384615384615384,0.5853994490358126,0.23039951937518774,0.3564593301435406
SRC,0.2385302788838346,0.956127450980392,0.1282051282051282,0.3282828282828283,0.7819915890657855,0.2777777777777778
ITGA5,0.06393235991448165,0.9678921568627452,0.6666666666666666,0.5319865319865321,0.1371282667467708,0.2769485903814262
ITGB6,0.027635938336064553,0.9674019607843136,0.5897435897435898,0.5997474747474748,0.1128717332532292,0.3150252525252525
ITGAV,0.0685025898210141,0.9666666666666666,0.5897435897435898,0.5795454545454546,0.09965455091619105,0.3003731343283582
ITGB8,0.02134920429743775,0.9669117647058824,0.5384615384615384,0.6418732782369146,0.09965455091619105,0.3360881542699724
ITGB4,0.01964642460466185,0.967156862745098,0.5641025641025641,0.6258234519104084,0.09867828176629619,0.3280632411067193
ITGA1,0.0198642528877533,0.9659313725490196,0.5384615384615384,0.6363636363636364,0.08230699909882848,0.3384615384615385
ITGA11,0.00247843062481455,0.9642156862745098,0.46153846153846156,0.7001594896331739,0.028912586362270953,0.3887945670628183
ITGA8,0.00247843062481455,0.9642156862745098,0.46153846153846156,0.7001594896331739,0.028912586362270953,0.3887945670628183
ITGA2,0.00247843062481455,0.9642156862745098,0.46153846153846156,0.7001594896331739,0.028912586362270953,0.3887945670628183
ITGA3,0.00247843062481455,0.9642156862745098,0.46153846153846156,0.7001594896331739,0.028912586362270953,0.3887945670628183
ITGA10,0.00247843062481455,0.9642156862745098,0.46153846153846156,0.7001594896331739,0.028912586362270953,0.3887945670628183
ITGA4,0.0209221681789191,0.964950980392157,0.5384615384615384,0.6143250688705235,0.052343045959747675,0.3431085043988269
ACTB,0.09195418137659536,0.9605392156862744,0.358974358974359,0.4949494949494949,0.3107539801742265,0.2795698924731182
ACTG1,0.09195418137659536,0.9605392156862744,0.358974358974359,0.4949494949494949,0.3107539801742265,0.2795698924731182
TLN1,0.053613601241298596,0.9644607843137256,0.2564102564102564,0.6143250688705235,0.2162811655151697,0.3545454545454545
KDR,0.2517595972780289,0.9379901960784311,0.10256410256410256,0.09090909090909091,0.7687744067287474,0.2615384615384615
TLN2,0.02727398147988255,0.9595588235294118,0.15384615384615385,0.6060606060606061,0.12481225593271253,0.4285714285714285
ITGA6,0.026303488376259003,0.957843137254902,0.1282051282051282,0.5606060606060606,0.04978972664463803,0.375
ITGA2B,0.01589091744073065,0.9595588235294118,0.1794871794871795,0.5416666666666666,0.021102433163112045,0.349537037037037
CDC42,0.09395855829186871,0.9379901960784311,0.1282051282051282,0.17676767676767677,0.3542355061580054,0.3703703703703703
PXN,0.06478685083611706,0.957843137254902,0.20512820512820512,0.37373737373737376,0.15229798738359868,0.2938271604938272
IGF1,0.1024435727976828,0.9512254901960784,0.1794871794871795,0.3068181818181818,0.09011715229798738,0.2648809523809524
ILK,0.05438893940983755,0.956127450980392,0.15384615384615385,0.38095238095238093,0.06293181135476118,0.2769679300291545
PIK3R1,0.09004088298923356,0.954656862745098,0.2564102564102564,0.19283746556473827,0.20126164013217182,0.1888111888111888
LAMB1,0.08029493572975155,0.953186274509804,0.23076923076923078,0.25757575757575757,0.10446079903875037,0.202127659574468
PARVB,0.034531388784675904,0.9490196078431372,0.20512820512820512,0.21212121212121213,0.10235806548513067,0.3034188034188034
LAMC1,0.052945877294496305,0.9529411764705882,0.20512820512820512,0.2794612794612794,0.08688795434064284,0.2174940898345153
LAMA5,0.0431047041015468,0.9524509803921568,0.15384615384615385,0.3333333333333333,0.051967557825172726,0.2553191489361702
PIK3R3,0.02111038834975935,0.9492647058823528,0.1282051282051282,0.27777777777777773,0.08718834484830279,0.2990196078431372
PIK3CA,0.022679809997806503,0.9502450980392156,0.15384615384615385,0.2597402597402597,0.0886151997596876,0.273469387755102
EGFR,0.04793494743140055,0.9519607843137254,0.15384615384615385,0.24675324675324672,0.10581255632322019,0.225
